"CT_ID_10","TotalPop","MedHouseIncome","FamPovPer","UnempRate","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM"
"25001010100",2962,42228,0.0766773162939297,0.0892552586696987,NA,NA
"25001010206",3168,48452,0.0179775280898876,0.116009280742459,NA,NA
"25001010208",1589,62051,0.113924050632911,0.0458715596330275,NA,NA
"25001010304",2107,61138,0.028169014084507,0.0709071949947862,NA,NA
"25001010306",2817,55455,0.047029702970297,0.0941091954022989,NA,NA
"25001010400",3081,46741,0.0280487804878049,0.0423412204234122,NA,NA
"25001010500",2766,68508,0.0654685494223363,0.0215759849906191,NA,NA
"25001010600",3238,66852,0.0620985010706638,0.0742574257425743,NA,NA
"25001010700",2904,64375,0.118081180811808,0.0559593023255814,NA,NA
"25001010800",4860,76768,0.0195195195195195,0.0710536939846589,NA,NA
"25001010900",5019,65231,0.0313167259786477,0.0248075278015398,NA,NA
"25001011002",4192,60044,0.0223813786929275,0.0629139072847682,NA,NA
"25001011100",4525,79766,0.0218538055764883,0.0431034482758621,NA,NA
"25001011200",3450,68617,0.0539053905390539,0.0543410368519675,NA,NA
"25001011300",2804,69148,0.0418502202643172,0.0833333333333333,NA,NA
"25001011400",3148,61108,0.0991649269311065,0.0601443464314354,NA,NA
"25001011500",3912,49335,0.0530888030888031,0.100346020761246,NA,NA
"25001011600",2313,46813,0.0416666666666667,0.0687311178247734,NA,NA
"25001011700",1890,60903,0.047244094488189,0.0783132530120482,NA,NA
"25001011801",2439,55507,0.0229226361031519,0.0394456289978678,NA,NA
"25001011802",4028,65806,0.0410958904109589,0.0402144772117962,NA,NA
"25001012001",5767,53739,0.0267857142857143,0.0760723860589812,NA,NA
"25001012002",2743,44835,0.0796812749003984,0.127159640635798,NA,NA
"25001012101",5585,67596,0.0337216431637032,0.0482218203737191,NA,NA
"25001012102",2986,65651,0.0452920143027414,0.0960809102402023,NA,NA
"25001012200",5016,87188,0.0620364126770061,0.0376639864578925,NA,NA
"25001012502",3390,57042,0.0294573643410853,0.0553108174253549,NA,NA
"25001012601",3832,64000,0.0892307692307692,0.0899638336347197,NA,NA
"25001012602",4278,37478,0.163198247535597,0.0817790530846485,NA,NA
"25001012700",3995,73646,0.0197368421052632,0.0361887311039853,NA,NA
"25001012800",4051,64144,0.0334883720930233,0.0927882406982085,NA,NA
"25001012900",3820,70404,0.0350877192982456,0.0743691899070385,NA,NA
"25001013002",2987,68289,0.00842992623814542,0.0879032258064516,NA,NA
"25001013100",5179,79659,0.0344827586206897,0.037037037037037,NA,NA
"25001013200",4882,70929,0.0625439212930429,0.0699823943661972,NA,NA
"25001013300",3285,68295,0.0394889663182346,0.0801911842804036,NA,NA
"25001013400",3848,87969,0.0424646128226478,0.0710925248301098,NA,NA
"25001013500",6702,97689,0.0319587628865979,0.0743523316062176,NA,NA
"25001013600",6657,93003,0.0313609467455621,0.0338891877353416,NA,NA
"25001013700",4407,72031,0.060546875,0.0617232808616404,NA,NA
"25001013800",4951,73729,0.110223642172524,0.0689165186500888,NA,NA
"25001013900",5564,72344,0.0712871287128713,0.0241427571728481,NA,NA
"25001014002",4118,62543,0.0445632798573975,0.0272479564032698,NA,NA
"25001014100",756,44405,0.0787037037037037,0,NA,NA
"25001014300",4175,86510,0.0110062893081761,0.0550098231827112,NA,NA
"25001014402",6937,84583,0.0476700589180503,0.04809670781893,NA,NA
"25001014500",5328,69236,0.100833965125095,0.0868232890704801,NA,NA
"25001014600",4166,64357,0.0422185430463576,0.0913393279697113,NA,NA
"25001014700",3653,61875,0.0296827021494371,0.0536948431685274,NA,NA
"25001014800",3517,36066,0.0193548387096774,0.0448493342676945,NA,NA
"25001014900",3768,79856,0.0352250489236791,0.0574365175332527,NA,NA
"25001015001",4520,76356,0.0304777594728171,0.0554423155320016,NA,NA
"25001015002",3727,61412,0.0397779833487512,0.0909673286354901,NA,NA
"25001015100",3665,75625,0.068159688412853,0.0566528066528067,NA,NA
"25001015200",2168,85240,0.0335766423357664,0.0426944971537002,NA,NA
"25001015300",3068,32786,0.16952380952381,0.0795454545454545,NA,NA
"25001990000",0,NA,NA,NA,NA,NA
"25003900100",3289,20310,0.311450381679389,0.229065743944637,NA,NA
"25003900200",4227,28692,0.150763358778626,0.105240174672489,NA,NA
"25003900300",2693,43712,0.11353032659409,0.0858424087123639,NA,NA
"25003900400",5224,46134,0.187315634218289,0.0956118444523725,NA,NA
"25003900500",3421,75929,0.0491978609625668,0.0534729878721058,NA,NA
"25003900600",3601,21938,0.414364640883978,0.210840108401084,NA,NA
"25003900700",2781,52619,0.113956466069142,0.0635593220338983,NA,NA
"25003900800",4777,80388,0.0114531138153185,0.0621780721118469,NA,NA
"25003900900",5018,62699,0.108614232209738,0.118049083566325,NA,NA
"25003901100",3516,56818,0.030808729139923,0.0328947368421053,NA,NA
"25003911100",3019,74519,0,0.0901360544217687,NA,NA
"25003912100",6682,55774,0.0695701357466063,0.0694073678590496,NA,NA
"25003913100",5015,55777,0.0482594936708861,0.0570236439499305,NA,NA
"25003914100",5856,61507,0.0384615384615385,0.0481622306717364,NA,NA
"25003920101",4311,73125,0.0871261378413524,0.0626142595978062,NA,NA
"25003920102",3281,72407,0.066543438077634,0.0654320987654321,NA,NA
"25003921300",4603,27863,0.101098901098901,0.0650986980260395,NA,NA
"25003921400",1592,36231,0.134903640256959,0.145917001338688,NA,NA
"25003921500",3190,41959,0.153340635268346,0.0924024640657084,NA,NA
"25003922100",2476,41829,0.15,0.0483242400623539,NA,NA
