city,communityRatingStars,fitScore,gradeRange,gsRating,id,lat,lng,maxFitScore,name,numReviews,okFit,preschool,profileUrl,reviewUrl,schoolType,state,street,strongFit,zillowUrl,zipcode
Boston,3,0,PK-5,4,270,42.3752555847168,-71.03387451171875,0,Otis Elementary School,6,False,False,/massachusetts/boston/270-Otis-Elementary-School/,/massachusetts/boston/270-Otis-Elementary-School/reviews,Public district,ma,218 Marion Street,False,https://www.zillow.com/MA-02128?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2128
Boston,4,0,PK-8,3,281,42.338863372802734,-71.07803344726562,0,Hurley K-8 School,14,False,False,/massachusetts/boston/281-Hurley-K-8-School/,/massachusetts/boston/281-Hurley-K-8-School/reviews,Public district,ma,70 Worcester Street,False,https://www.zillow.com/MA-02118?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2118
Boston,2,0,7-12,0,235,42.3404655456543,-71.08307647705078,0,Carter School,1,False,False,/massachusetts/boston/235-Carter-School/,/massachusetts/boston/235-Carter-School/reviews,Public district,ma,396 Northampton Street,False,https://www.zillow.com/MA-02118?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2118
Cambridge,5,0,PK-5,4,432,42.37193298339844,-71.0916976928711,0,King Open,13,False,False,/massachusetts/cambridge/432-King-Open/,/massachusetts/cambridge/432-King-Open/reviews,Public district,ma,850 Cambridge Street,False,https://www.zillow.com/MA-02141?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2141
Boston,0,0,9-12,0,5340,42.38446044921875,-71.07527923583984,0,Gardner Academy For Learning And Technology,0,False,False,/massachusetts/boston/5340-Gardner-Academy-For-Learning-And-Technology/,/massachusetts/boston/5340-Gardner-Academy-For-Learning-And-Technology/reviews,Public district,ma,75 Gardner Street,False,https://www.zillow.com/MA-02129?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2129
Boston,4,0,9-12,1,248,42.380943298339844,-71.03507995605469,0,East Boston High School,26,False,False,/massachusetts/boston/248-East-Boston-High-School/,/massachusetts/boston/248-East-Boston-High-School/reviews,Public district,ma,86 White Street,False,https://www.zillow.com/MA-02128?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2128
Boston,0,0,PK-5,3,302,42.378536224365234,-71.03047943115234,0,Patrick J Kennedy,0,False,False,/massachusetts/boston/302-Patrick-J-Kennedy/,/massachusetts/boston/302-Patrick-J-Kennedy/reviews,Public district,ma,343 Saratoga Street,False,https://www.zillow.com/MA-02128?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2128
Cambridge,5,0,PK-5,4,2619,42.366546630859375,-71.09578704833984,0,Fletcher/Maynard Academy,10,False,False,/massachusetts/cambridge/2619-Fletcher-Maynard-Academy/,/massachusetts/cambridge/2619-Fletcher-Maynard-Academy/reviews,Public district,ma,225 Windsor Street,False,https://www.zillow.com/MA-02139?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2139
Boston,5,0,9-12,2,2998,42.33290481567383,-71.04483032226562,0,Excel High School,3,False,False,/massachusetts/boston/2998-Excel-High-School/,/massachusetts/boston/2998-Excel-High-School/reviews,Public district,ma,95 G Street,False,https://www.zillow.com/MA-02127?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2127
Boston,0,0,10-12,0,6296,42.349430084228516,-71.09578704833984,0,EDCO Youth Alternative High School,0,False,False,/massachusetts/boston/6296-EDCO-Youth-Alternative-High-School/,/massachusetts/boston/6296-EDCO-Youth-Alternative-High-School/reviews,Public district,ma,650 Beacon Street,False,https://www.zillow.com/MA-02215?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2215
Boston,3,0,PK-5,3,284,42.33452606201172,-71.03900909423828,0,Tynan Elementary School,9,False,False,/massachusetts/boston/284-Tynan-Elementary-School/,/massachusetts/boston/284-Tynan-Elementary-School/reviews,Public district,ma,650 East 4th Street,False,https://www.zillow.com/MA-02127?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2127
Boston,5,0,K-5,1,297,42.337276458740234,-71.08528137207031,0,Perkins Elementary School,2,False,False,/massachusetts/boston/297-Perkins-Elementary-School/,/massachusetts/boston/297-Perkins-Elementary-School/reviews,Public district,ma,50 Burke Street,False,https://www.zillow.com/MA-02127?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2127
Boston,5,0,9-12,5,338,42.3460807800293,-71.0950927734375,0,Fenway High School,9,False,False,/massachusetts/boston/338-Fenway-High-School/,/massachusetts/boston/338-Fenway-High-School/reviews,Public district,ma,174 Ipswich Street,False,https://www.zillow.com/MA-02215?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2215
Boston,4,0,9-12,3,348,42.3460807800293,-71.0950927734375,0,Boston Arts Academy,8,False,False,/massachusetts/boston/348-Boston-Arts-Academy/,/massachusetts/boston/348-Boston-Arts-Academy/reviews,Public district,ma,174 Ipswich Street,False,https://www.zillow.com/MA-02215?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2215
