"geoid","AFFH.pov_idx","AFFH.lbr_idx","AFFH.haz_idx","AFFH.tcost_idx","AFFH.trans_idx","HUD.School.Index","ACS.total.housing.units","ACS.vacant.housing.units","ACS.rental.vacancy.rate","ACS.rented.units","ACS.rented.less.500","ACS.rented.500.999","ACS.rented.1000.1499","ACS.rented.1500.1999","ACS.rented.2000.2499","ACS.rented.2500.2999","ACS.rented.3000.more","ACS.multi.family.units","ACS.3.bedrooms","ACS.4.bedrooms","ACS.5.bedrooms","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM","Region"
25025140107,74,70,NA,90,93,16,1116,61,"0",447,144,84,139,80,0,0,0,537,355,167,47,"Low",0.25,"REGION 6"
25025140201,70,75,59,90,89,40,971,32,"0",437,0,75,336,26,0,0,0,546,278,150,39,"Low",0.25,"REGION 6"
25025140202,61,57,47,88,92,40,2204,62,"0",535,30,207,243,55,0,0,0,1012,1037,334,146,"Low",0.25,"REGION 6"
25025140300,42,43,54,93,93,16,2558,219,"4.8",1526,422,363,365,359,0,17,0,1736,790,273,265,"Very Low",0,"REGION 6"
25025140400,64,30,50,90,94,5,3023,143,"5.9",980,163,95,476,190,56,0,0,1402,991,301,138,"Very Low",0,"REGION 6"
25025160101,11,23,NA,96,96,30,2267,83,"1.9",1605,195,250,699,392,69,0,0,1982,795,264,103,"Very Low",0,"REGION 6"
25025160200,16,35,21,98,97,30,1266,97,"2.7",1070,160,81,545,212,38,34,0,1212,492,71,32,"Very Low",0,"REGION 6"
25025160300,54,77,21,96,95,32,1365,22,"2.4",898,215,125,158,357,35,8,0,1164,125,57,9,"Moderate",0.5,"REGION 6"
25025160400,26,37,17,97,94,30,1098,79,"5",896,120,278,345,123,24,6,0,1054,233,69,7,"Very Low",0,"REGION 6"
25025160501,17,41,NA,98,97,30,1945,212,"0",1288,286,259,536,207,0,0,0,1700,455,147,99,"Very Low",0,"REGION 6"
25025160502,34,55,NA,94,94,30,1715,48,"2",1058,238,118,536,166,0,0,0,1469,296,159,12,"Very Low",0,"REGION 6"
25025160601,21,42,NA,94,94,32,1568,58,"1.8",1035,237,77,309,284,90,28,10,1401,392,42,34,"Very Low",0,"REGION 6"
25025160602,29,59,NA,95,95,30,1716,51,"2.2",894,123,233,332,185,21,0,0,1274,543,148,25,"Very Low",0,"REGION 6"
25025170100,39,45,31,93,94,46,3013,155,"0",1198,13,303,575,173,54,0,80,1628,965,410,72,"Very Low",0,"REGION 6"
25025170200,46,48,41,92,93,46,1779,100,"3.4",806,302,222,152,81,49,0,0,975,722,236,36,"Very Low",0,"REGION 6"
25025170300,87,60,39,91,91,63,3742,141,"0.9",1444,37,146,571,483,207,0,0,1977,1122,297,118,"Low",0.25,"REGION 6"
25025170400,34,41,43,93,93,50,2353,99,"0",1170,190,124,693,163,0,0,0,1710,533,121,124,"Low",0.25,"REGION 6"
25025170501,21,36,NA,93,93,36,1858,188,"14",663,7,190,191,247,28,0,0,1410,266,46,47,"Very Low",0,"REGION 6"
25025170502,64,52,NA,91,91,43,1529,148,"0",625,95,259,199,72,0,0,0,909,330,176,32,"Low",0.25,"REGION 6"
25025170601,37,34,NA,91,93,46,2000,84,"4.1",876,44,225,366,212,8,21,0,1289,610,198,80,"Very Low",0,"REGION 6"
25025170701,16,21,46,95,93,44,1052,54,"3.3",666,54,212,303,80,6,11,0,723,162,11,9,"Very Low",0,"REGION 6"
25025170702,20,18,NA,95,96,44,2264,104,"4",1497,223,310,755,209,0,0,0,1923,516,311,24,"Very Low",0,"REGION 6"
25025170800,41,49,42,94,95,44,2180,211,"0",988,85,182,543,85,93,0,0,1520,670,237,59,"Very Low",0,"REGION 6"
25025180101,67,57,NA,92,94,41,2458,214,"4.3",1187,299,200,548,130,10,0,0,1967,444,96,84,"Moderate",0.5,"REGION 6"
25025180200,50,47,23,91,93,41,1709,117,"1.2",644,34,196,284,121,9,0,0,986,662,254,45,"Moderate",0.5,"REGION 6"
25025180301,90,92,NA,86,94,41,1231,63,"0",280,0,45,85,63,66,21,0,587,416,246,183,"High",0.75,"REGION 6"
25025180400,86,69,35,90,94,41,774,48,"0",226,0,19,144,63,0,0,0,408,286,112,97,"Moderate",0.5,"REGION 6"
25025180500,47,85,61,92,95,41,1983,111,"2.2",966,51,71,413,327,71,33,0,1185,748,133,53,"Low",0.25,"REGION 6"
25025980101,0,0,NA,NA,NA,1,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Very Low",0,"REGION 6"
25025980300,0,0,NA,NA,NA,14,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Very Low",0,"REGION 6"
25025980700,99,97,46,99,0,26,6,0,"-",0,0,0,0,0,0,0,0,3,3,3,0,"Very Low",0,"REGION 6"
25025981000,NA,NA,NA,NA,NA,24,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Very Low",0,"REGION 6"
25025981100,6,0,46,NA,NA,14,168,0,"0",133,44,21,59,5,4,0,0,98,21,19,0,"Very Low",0,"REGION 6"
25025981201,NA,NA,NA,NA,NA,6,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Low",0.25,"REGION 6"
25025981202,NA,73,44,NA,NA,10,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Moderate",0.5,"REGION 6"
25025981300,93,99,43,NA,NA,41,274,17,"0",104,0,17,0,41,46,0,0,254,63,0,0,"Moderate",0.5,"REGION 6"
25025981501,NA,NA,NA,NA,NA,42,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Very High",1,"REGION 6"
25025981502,NA,NA,NA,NA,NA,44,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Very Low",0,"REGION 6"
25025981600,NA,NA,NA,NA,NA,23,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Low",0.25,"REGION 6"
25025981700,NA,NA,NA,NA,NA,48,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"Very High",1,"REGION 6"
25025981800,99,83,46,NA,NA,18,30,11,"-",0,0,0,0,0,0,0,0,21,6,17,0,"Very High",1,"REGION 6"
25025990101,NA,NA,NA,NA,NA,NA,0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"REGION 6"
25027700100,71,78,95,68,18,21,2748,532,"0",101,14,46,14,27,0,0,0,57,1332,435,120,"High",0.75,"REGION 7"
25027701100,53,47,94,81,31,23,3748,546,"16.2",771,120,463,128,44,16,0,0,1148,1677,525,183,"Low",0.25,"REGION 7"
25027702200,65,55,95,71,18,23,1363,110,"0",232,72,82,36,42,0,0,0,159,712,173,97,"Very Low",0,"REGION 7"
25027703100,17,6,48,84,33,17,2048,305,"7.7",580,162,351,35,32,0,0,0,698,875,183,63,"Very Low",0,"REGION 7"
25027703200,40,40,53,74,21,17,1683,185,"11.3",343,125,164,43,11,0,0,0,382,676,155,77,"Very Low",0,"REGION 7"
25027703300,86,50,89,76,22,27,1796,276,"6.4",415,44,288,23,60,0,0,0,476,669,240,87,"Low",0.25,"REGION 7"
25027704200,80,55,94,67,0,18,1327,249,"7",97,12,40,36,9,0,0,0,88,561,209,88,"Low",0.25,"REGION 5"
25027705100,47,44,93,72,21,13,3451,293,"6.7",451,179,115,137,20,0,0,0,432,1830,299,168,"Moderate",0.5,"REGION 7"
25027706100,77,65,94,70,19,71,1751,159,"0",135,33,40,41,21,0,0,0,154,921,282,60,"Moderate",0.5,"REGION 7"
25027707100,29,39,79,82,24,30,1753,103,"0",628,281,246,63,38,0,0,0,632,694,145,46,"Very Low",0,"REGION 7"
25027707200,31,23,49,93,41,30,1021,147,"4.1",663,102,327,206,21,0,0,7,827,211,66,20,"Low",0.25,"REGION 7"
25027707300,23,19,60,91,41,30,2272,407,"3.6",1309,334,835,129,11,0,0,0,1652,663,83,41,"Very Low",0,"REGION 7"
25027707400,67,49,86,81,34,30,2007,253,"0",499,42,355,81,9,12,0,0,671,816,168,74,"Low",0.25,"REGION 7"
