"ZIP","long","lat"
"01923",-70.9495833893645,42.5740325417805
"01960",-70.9724857504153,42.5334484733586
"01915",-70.8621214583913,42.5686367521743
"02370",-70.9100290017881,42.1294564637379
"02139",-71.1014788478909,42.3620858317574
"02144",-71.12162774033,42.4008838287134
"02420",-71.2188162482881,42.4586411850249
"01886",-71.4399731871491,42.5862386246799
"01949",-71.0164709153432,42.6042993091421
"02021",-71.1264484281289,42.1753722516131
"02191",-70.9426718716432,42.2425154669443
"02715",-71.1515321774983,41.8163532769117
"02351",-70.9590569228674,42.1179786923168
"02066",-70.7631781904286,42.2007659325586
"01803",-71.2015789630073,42.5027342915425
"01904",-70.9733475374117,42.4918148395386
"01843",-71.1616110001337,42.6890872376803
"02145",-71.0894872334386,42.3917160240305
"01740",-71.6067560539363,42.4357416834426
"01748",-71.53770546277,42.2254920318718
"02134",-71.1296657829938,42.3578797120118
"02111",-71.0604568824693,42.3506972759336
"02184",-71.0022947373303,42.2036426699791
"01985",-70.9689892771051,42.7925930709589
"02379",-71.0266498109576,42.0213921686038
"01434",-71.6153060377144,42.5338560732931
"01702",-71.4342595825145,42.2822264645388
"01776",-71.4222920175955,42.3838519276802
"02343",-71.0055735555886,42.1469446500307
"02790",-71.0812794024205,41.5975380240101
"02050",-70.7145214094518,42.1127802405984
"02382",-70.9401291654384,42.0800659390752
"01778",-71.3584251215558,42.3587836780101
"02149",-71.0539596977964,42.4071875069711
"02188",-70.9586151843151,42.2059597466984
"01718",-71.4279435638564,42.5187514355994
"01770",-71.3753209842016,42.234195064019
"02189",-70.9325013762418,42.2092557079715
"02472",-71.177262024107,42.3698352620194
"01930",-70.7146818718375,42.617394273442
"02767",-71.0509398385258,41.9368057756705
"01945",-70.863954712837,42.4990653422971
"01905",-70.9754047645393,42.4675240086141
"02121",-71.0819712791901,42.3073367187852
"02176",-71.0591800863202,42.4556339504752
"01834",-71.014897911085,42.7520780665478
"02215",-71.1027481335257,42.3477984467015
"01434",-71.6032281842442,42.5535092464533
"01940",-71.038054905689,42.5355090651502
"01887",-71.1655896607671,42.5607336080455
"02459",-71.1934554637918,42.3146134778325
"01908",-70.9237706484947,42.425183481205
"02462",-71.2565767633128,42.3307411734922
"02170",-71.0166257678406,42.2665175215246
"02090",-71.2114186279998,42.2203015434758
"02131",-71.1250819582951,42.2842060749667
"02119",-71.085147415327,42.323647727663
"02110",-71.0529258675414,42.3575829155372
"02725",-71.179324301133,41.7225013444003
"02190",-70.9522453994779,42.1665344978053
"02482",-71.3005264893164,42.2937690140656
"02458",-71.1890435185796,42.3533209081491
"01730",-71.2787551010956,42.4970817349348
"02779",-71.0749225226912,41.8358343455259
"01746",-71.4449972605793,42.1977182486488
"02466",-71.2481065578102,42.3456579203472
"01867",-71.1056203539665,42.5352466287687
"01852",-71.2951718737033,42.6324779586056
"01833",-70.9829933494905,42.7239003586222
"02026",-71.1776741910054,42.2463813049292
"01772",-71.5303160036216,42.3011795471457
"02108",-71.0647693690076,42.3575986215731
"01944",-70.769318042657,42.5826795556591
"01810",-71.1641102487416,42.6459268455452
"02720",-71.0829500837034,41.7323369613505
"01821",-71.2526704585063,42.5498664244922
"01749",-71.5472428280687,42.3888123110445
"02171",-71.0259259411778,42.2856083522305
"02748",-70.9777651701727,41.5600814665669
"02056",-71.3297623390914,42.1164603037777
"02132",-71.1592905330573,42.2804142950805
"01860",-71.01112241725,42.8379513140958
"01966",-70.6233648961422,42.6547553687313
"01757",-71.5189038810761,42.1566899333297
"02109",-71.0539705101975,42.362930330682
"02476",-71.1760032004545,42.4166438282536
"02368",-71.0535616789694,42.1780180232934
"02324",-70.9747906737215,41.9727257082895
"02115",-71.0947968383267,42.3408211173954
"01921",-71.0192848843747,42.6820196545324
"02763",-71.3057639114514,41.9709986902439
"02461",-71.2093465582618,42.3173491801933
"02445",-71.1336739833297,42.3258238105048
"02771",-71.3176337853895,41.8380091257056
"02333",-70.940510942962,42.034094901767
"01880",-71.0656392864417,42.5034607648069
"02375",-71.100919883803,42.0157097576697
"01902",-70.9399719800991,42.4701028143122
"01760",-71.349879733899,42.2844438057509
"01451",-71.5797394561617,42.5008386223458
"02494",-71.2267158398015,42.2972857611425
"02719",-70.8752551508457,41.643428197856
"02726",-71.1458291279533,41.7610536779903
"02460",-71.2085011177975,42.3524832588185
"02140",-71.1332649288806,42.3933530194997
"02125",-71.0570645677566,42.3163954892315
"02067",-71.1829502749667,42.1082492586738
"01864",-71.0875250078694,42.5813943263303
"02038",-71.4112607332424,42.0861123444653
"02048",-71.2185656815749,42.0162777593303
"02451",-71.2573049999117,42.3988846989189
"02053",-71.429042843338,42.1536239616977
"02148",-71.0574962684798,42.4305148095595
"01830",-71.0525679191108,42.7963552330147
"02061",-70.8179141221074,42.1607838660043
"02114",-71.0661041573371,42.3633283854774
"01801",-71.1542618015623,42.486842087144
"02030",-71.2841787382485,42.2369164588235
"02135",-71.1539829265271,42.3506331616209
"02744",-70.9133004024141,41.6089066051843
"01773",-71.3102331838897,42.4249982680138
"02492",-71.2460090304242,42.2751412124012
"02721",-71.142193638641,41.6743939329434
"02054",-71.3625889359879,42.1694467227043
"01950",-70.9022793962032,42.8121423352595
"02464",-71.2204225761732,42.3124019928051
"02717",-70.9800566751885,41.7580512093861
"02738",-70.7650525266129,41.7094357885642
"02043",-70.8848972242219,42.2160240930569
"02367",-70.8100648413065,41.9635512489228
"02032",-71.2163475692052,42.1542614587053
"02138",-71.13470951854,42.3800554056801
"02062",-71.1947562049474,42.1856757876615
