"CT_ID_10","TotalPop","MedHouseIncome","FamPovPer","UnempRate","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM"
25017310200,6735,55035,6.73,5.76,"Very Low",0
25017310300,6353,36861,31.33,10.35,"Very Low",0
25017310400,3306,28567,28.12,12.21,"Very Low",0
25017310500,3465,51101,4.76,3.74,"Very Low",0
25017310601,6411,67404,6.39,10.16,"Very Low",0
25017310602,5345,51989,15.7,10.43,"Low",0.25
25017310700,4749,34712,13.58,7.7,"Very Low",0
25017311100,2498,45694,19.86,12.25,"Very Low",0
25017311200,3411,39486,18.35,13.13,"Very Low",0
25017311300,3853,49000,10.88,7.99,"Very Low",0
25017311400,5700,43750,15.48,9.44,"Very Low",0
25017311500,3131,64583,23.76,9.29,"Very Low",0
25017311600,5642,64122,10.91,7.95,"Very Low",0
25017311700,4954,53281,21.94,12.15,"Very Low",0
25017311800,3335,36702,20.3,13.44,"Very Low",0
25017311900,2525,24654,36.01,14.25,"Very Low",0
25017312000,3060,42800,22.09,12.74,"Very Low",0
25017312100,3038,43607,28.1,9.98,"Very Low",0
25017312200,4143,63200,12.32,5.54,"Very Low",0
25017312300,4814,66537,0,7.39,"Very Low",0
25017312400,2592,30739,27.96,16.3,"Very Low",0
25017312501,4384,67361,15.32,6.41,"Very Low",0
25017312502,4090,66964,0.82,6.98,"Low",0.25
25017313101,6227,110117,9.99,5.81,"Low",0.25
25017313102,5906,98294,4.07,4.37,"Low",0.25
25017314101,6643,97457,3.53,1.86,"Low",0.25
25017314102,7611,71479,1.12,6.91,"Low",0.25
25017314200,5422,71423,5.81,4.58,"Moderate",0.5
25017314301,8205,93382,2.72,4.98,"Moderate",0.5
25017314302,3059,125938,3.21,6.09,"High",0.75
25017315100,6062,101649,5.6,4.45,"Moderate",0.5
25017315200,7867,91667,2.4,5.3,"Moderate",0.5
25017315401,3869,65139,1.36,3.67,"Moderate",0.5
25017315402,3063,112991,3.31,2.53,"Moderate",0.5
